,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc,faag_xdc
country,ae,af,ag,al,am,ao,ar,au,az,ba,bb,bd,bf,bi,bj,bn,bo,br,bt,bw,by,bz,ca,cd,cf,cg,ci,cl,cm,cn,co,cr,cv,dj,dm,do,dz,eg,er,fj,ga,gd,ge,gh,gm,gq,gt,gw,gy,hn,ht,id,il,in,iq,is,jm,jp,ke,kg,kh,km,kn,kr,kw,kz,lc,ls,ma,md,mg,mk,ml,mm,mn,mu,mv,mx,my,mz,ne,ng,ni,no,np,om,pa,pg,ph,pk,py,qa,ro,rs,ru,sa,sb,sc,sd,sl,sn,sr,ss,st,sy,sz,td,tg,th,tj,to,tr,tt,tz,ua,ug,uy,vc,ve,vu,ws,za,zm
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,2.163055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96812361874.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78941300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,6.34669838499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13039390789e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.379192e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,31.7586165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30436494669e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.827172e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,46.4759575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51335087815e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.134969e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,76.874749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73486008753e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.294035e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,142.668384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0556112595e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.249602e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,274.2194725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46860330653e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.998202e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,810.663824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83881667214e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.554705e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,6082.767825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39032824691e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,34320.0075497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13129144715e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.605729e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,244881.7196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98632126848e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.425916e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8868e+11,,,,,,,,,,,,,,,,,,,,,,,,5.65038246796e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.761109e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4486e+11,,,,,,,,,,,,,,,,,,,,,,,,6.52981597417e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.983891e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.961e+11,,,,,,,,,,,,,,,,,,,,,,,,7.40187213545e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79899e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.629e+11,,,,,,,,,,,,,,,,,,,,,,,,8.36784960883e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.641824e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7459e+11,,,,,,,,,,,,,,,,,,,,,,,,9.52628124473e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46315e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,19037000000.0,,,,,,,,,,,,,,,,,,,,,,,7.2292e+11,,,,,,,,,,,,,,,,,,,,,,,,1.12142014842e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70802e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,29169000000.0,,,,,,,,,,,,,,,,,,,,,,,9.0146e+11,,,,,,,,,,,,,,,,,,,,,,,,1.36087577895e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.512545e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,41342000000.0,,,,,,,,,,,,,,,,,,,,,,,1.01752e+12,,,,,,,,,,,,,,,,,,,,,,,,1.43213223938e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.532584e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,45597000000.0,,,,,,,,,,,,,,,,,,,,,,,1.33963e+12,,,,,,,,,,,,,,,,,,,,,,,,1.74953791459e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.392363e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,42757809000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96057203198e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25243e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,42585689000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12203611827e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.115925e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,21841923000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40031568418e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.380632e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,21947238000.0,,,,,,,,,,,,,,,,,,,,,2.18980466286e+13,,3.521725e+12,,,,,,,,,,,,,,,,,,,,,,,,2.64520011275e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.590907e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,23442615000.0,,,,,,,,,,,,,,,,,,,,,2.0541596e+13,,3.582106e+12,,,,,,,,,,,,,,,,,,,,,,,,3.06040865215e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.186213e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,23330695000.0,,,,,,,,,,,,,,,,,,,,,2.2955008e+13,,4.186538e+12,,,,,,,,,,,,,,,,,,,,,,,,3.40615043328e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.772018e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,
